data;categoria;produto;classificacao;unidade_peso;menor;comum;maior;quilo;coletado_em
07/01/2026;PESCADOS;FILE DE TILAPIA;-;KG;41,5;41,5;41,5;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
07/01/2026;PESCADOS;PANGASIUS;-;KG;10,0;10,0;10,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
07/01/2026;PESCADOS;PINTADO;-;KG;28,0;28,0;28,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
07/01/2026;PESCADOS;TAMBAQUI;-;KG;15,67;15,67;15,67;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
07/01/2026;PESCADOS;TILÁPIA;-;KG;11,85;11,85;11,85;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
07/01/2026;PESCADOS;TRUTA;-;KG;41,07;41,07;41,07;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
09/01/2026;PESCADOS;FILE DE TILAPIA;-;KG;42,25;42,25;42,25;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
09/01/2026;PESCADOS;PANGASIUS;-;KG;10,0;10,0;10,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
09/01/2026;PESCADOS;TAMBAQUI;-;KG;16,0;16,0;16,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
09/01/2026;PESCADOS;TILÁPIA;-;KG;11,91;11,91;11,91;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
09/01/2026;PESCADOS;TRUTA;-;KG;42,0;42,0;42,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
12/01/2026;PESCADOS;FILE DE TILAPIA;-;KG;41,66;41,66;41,66;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
12/01/2026;PESCADOS;PANGASIUS;-;KG;10,0;10,0;10,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
12/01/2026;PESCADOS;PINTADO;-;KG;27,0;27,0;27,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
12/01/2026;PESCADOS;TAMBAQUI;-;KG;15,33;15,33;15,33;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
12/01/2026;PESCADOS;TILÁPIA;-;KG;11,82;11,82;11,82;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
12/01/2026;PESCADOS;TRUTA;-;KG;40,59;40,59;40,59;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
14/01/2026;PESCADOS;FILE DE TILAPIA;-;KG;43,29;43,47;43,67;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
14/01/2026;PESCADOS;TAMBAQUI;-;KG;17,0;17,0;17,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
14/01/2026;PESCADOS;TILÁPIA;-;KG;12,0;12,0;12,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
14/01/2026;PESCADOS;TRUTA;-;KG;40,0;40,0;40,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
16/01/2026;PESCADOS;FILE DE TILAPIA;-;KG;41,78;41,95;42,13;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
16/01/2026;PESCADOS;PANGASIUS;-;KG;26,0;26,0;26,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
16/01/2026;PESCADOS;PINTADO;-;KG;28,0;28,0;28,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
16/01/2026;PESCADOS;TAMBAQUI;-;KG;17,0;17,0;17,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
16/01/2026;PESCADOS;TILÁPIA;-;KG;11,92;11,92;11,92;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
16/01/2026;PESCADOS;TRUTA;-;KG;42,36;42,36;42,36;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
19/01/2026;PESCADOS;FILE DE TILAPIA;-;KG;41,87;41,87;41,87;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
19/01/2026;PESCADOS;PANGASIUS;-;KG;18,88;18,88;18,88;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
19/01/2026;PESCADOS;TAMBAQUI;-;KG;15,5;15,5;15,5;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
19/01/2026;PESCADOS;TILÁPIA;-;KG;12,15;12,15;12,15;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
