data,produto,produto_id,classificacao,unidade,menor,comum,maior
"2026-01-07","FILE DE TILAPIA","file-de-tilapia","-","KG",41.50,41.50,41.50
"2026-01-07","PANGASIUS","pangasius","-","KG",10.00,10.00,10.00
"2026-01-07","PINTADO","pintado","-","KG",28.00,28.00,28.00
"2026-01-07","TAMBAQUI","tambaqui","-","KG",15.67,15.67,15.67
"2026-01-07","TILÁPIA","tilapia","-","KG",11.85,11.85,11.85
"2026-01-07","TRUTA","truta","-","KG",41.07,41.07,41.07
"2026-01-09","FILE DE TILAPIA","file-de-tilapia","-","KG",42.25,42.25,42.25
"2026-01-09","PANGASIUS","pangasius","-","KG",10.00,10.00,10.00
"2026-01-09","TAMBAQUI","tambaqui","-","KG",16.00,16.00,16.00
"2026-01-09","TILÁPIA","tilapia","-","KG",11.91,11.91,11.91
"2026-01-09","TRUTA","truta","-","KG",42.00,42.00,42.00
"2026-01-12","FILE DE TILAPIA","file-de-tilapia","-","KG",41.66,41.66,41.66
"2026-01-12","PANGASIUS","pangasius","-","KG",10.00,10.00,10.00
"2026-01-12","PINTADO","pintado","-","KG",27.00,27.00,27.00
"2026-01-12","TAMBAQUI","tambaqui","-","KG",15.33,15.33,15.33
"2026-01-12","TILÁPIA","tilapia","-","KG",11.82,11.82,11.82
"2026-01-12","TRUTA","truta","-","KG",40.59,40.59,40.59
"2026-01-14","FILE DE TILAPIA","file-de-tilapia","-","KG",43.29,43.47,43.67
"2026-01-14","TAMBAQUI","tambaqui","-","KG",17.00,17.00,17.00
"2026-01-14","TILÁPIA","tilapia","-","KG",12.00,12.00,12.00
"2026-01-14","TRUTA","truta","-","KG",40.00,40.00,40.00
"2026-01-16","FILE DE TILAPIA","file-de-tilapia","-","KG",41.78,41.95,42.13
"2026-01-16","PANGASIUS","pangasius","-","KG",26.00,26.00,26.00
"2026-01-16","PINTADO","pintado","-","KG",28.00,28.00,28.00
"2026-01-16","TAMBAQUI","tambaqui","-","KG",17.00,17.00,17.00
"2026-01-16","TILÁPIA","tilapia","-","KG",11.92,11.92,11.92
"2026-01-16","TRUTA","truta","-","KG",42.36,42.36,42.36
"2026-01-19","FILE DE TILAPIA","file-de-tilapia","-","KG",41.87,41.87,41.87
"2026-01-19","PANGASIUS","pangasius","-","KG",18.88,18.88,18.88
"2026-01-19","TAMBAQUI","tambaqui","-","KG",15.50,15.50,15.50
"2026-01-19","TILÁPIA","tilapia","-","KG",12.15,12.15,12.15
"2026-01-19","TRUTA","truta","-","KG",41.07,41.07,41.07
"2026-01-21","FILE DE TILAPIA","file-de-tilapia","-","KG",42.24,42.24,42.24
"2026-01-21","TILÁPIA","tilapia","-","KG",12.01,12.01,12.01
"2026-01-21","TRUTA","truta","-","KG",40.00,40.00,40.00
"2026-01-23","FILE DE TILAPIA","file-de-tilapia","-","KG",41.81,41.81,41.81
"2026-01-23","PANGASIUS","pangasius","-","KG",10.00,10.00,10.00
"2026-01-23","PINTADO","pintado","-","KG",28.00,28.00,28.00
"2026-01-23","TAMBAQUI","tambaqui","-","KG",17.00,17.00,17.00
"2026-01-23","TILÁPIA","tilapia","-","KG",12.22,12.22,12.22
"2026-01-23","TRUTA","truta","-","KG",40.79,40.79,40.79
"2026-01-26","FILE DE TILAPIA","file-de-tilapia","-","KG",42.63,42.63,42.63
"2026-01-26","PANGASIUS","pangasius","-","KG",26.00,26.00,26.00
"2026-01-26","TAMBAQUI","tambaqui","-","KG",15.00,15.00,15.00
"2026-01-26","TILÁPIA","tilapia","-","KG",12.11,12.11,12.11
"2026-01-30","FILE DE TILAPIA","file-de-tilapia","-","KG",42.26,42.26,42.26
"2026-01-30","TILÁPIA","tilapia","-","KG",12.20,12.20,12.20
"2026-01-30","TRUTA","truta","-","KG",42.00,42.00,42.00
"2026-02-02","FILE DE TILAPIA","file-de-tilapia","-","KG",42.29,42.32,42.35
"2026-02-02","PANGASIUS","pangasius","-","KG",10.00,10.00,10.00
"2026-02-02","PINTADO","pintado","-","KG",29.00,29.00,29.00
"2026-02-02","TAMBAQUI","tambaqui","-","KG",14.66,14.66,14.66
"2026-02-02","TILÁPIA","tilapia","-","KG",11.99,12.10,12.21
"2026-02-02","TRUTA","truta","-","KG",41.00,41.00,41.00
"2026-02-04","FILE DE TILAPIA","file-de-tilapia","-","KG",37.84,37.84,37.84
"2026-02-04","PANGASIUS","pangasius","-","KG",18.98,18.98,18.98
"2026-02-04","PINTADO","pintado","-","KG",29.00,29.00,29.00
"2026-02-04","TAMBAQUI","tambaqui","-","KG",14.50,14.50,14.50
"2026-02-04","TILÁPIA","tilapia","-","KG",12.14,12.14,12.14
"2026-02-04","TRUTA","truta","-","KG",41.00,41.00,41.00
"2026-02-06","FILE DE TILAPIA","file-de-tilapia","-","KG",42.09,42.09,42.09
"2026-02-06","PANGASIUS","pangasius","-","KG",10.00,10.00,10.00
"2026-02-06","TILÁPIA","tilapia","-","KG",12.01,12.01,12.01
